"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AAEL0061143",1.06340625071694e-52,1.78426613265311,1,0.238,1.26704854772924e-48,"25","AAEL006114"
"AAEL0122484",4.70991014316682e-51,1.19123421153609,0.739,0.096,5.61185793558326e-47,"25","AAEL012248"
"AAEL0275204",7.27666784959463e-46,1.06090981338922,0.717,0.098,8.670149742792e-42,"25","AAEL027520"
"AAEL0034073",4.94076665435439e-42,1.51245112034729,0.978,0.303,5.88692346866326e-38,"25","AAEL003407"
"AAEL0059772",1.01331075880108e-41,1.2467953111953,0.87,0.186,1.20735976911148e-37,"25","AAEL005977"
"AAEL0110136",3.69092819717128e-33,1.16136033895435,0.717,0.142,4.39774094692958e-29,"25","AAEL011013"
"AAEL0056191",1.73327879860145e-32,1.1645146167967,0.978,0.407,2.06520168853363e-28,"25","AAEL005619"
"AAEL0260433",1.7678144580328e-32,1.05856996883809,0.739,0.139,2.10635092674608e-28,"25","AAEL026043"
"AAEL0052562",5.45038875187244e-32,1.1625357263764,0.913,0.275,6.49413819785602e-28,"25","AAEL005256"
"AAEL0005953",7.04067924547681e-32,1.18435905249974,0.848,0.217,8.38896932098563e-28,"25","AAEL000595"
"AAEL0098413",1.12392704239378e-31,1.09218965689041,1,0.51,1.33915907101219e-27,"25","AAEL009841"
"AAEL020615",1.18307861077595e-31,1.08534695728776,0.826,0.2,1.40963816473954e-27,"25","AAEL020615"
"AAEL0277906",1.56929592311012e-31,1.21726377719098,0.978,0.379,1.8698160923857e-27,"25","AAEL027790"
"AAEL0243903",3.39810953297972e-31,1.03117448566076,1,0.634,4.04884750854533e-27,"25","AAEL024390"
"AAEL0037948",2.7945720446016e-28,1.11574606357438,0.913,0.276,3.3297325911428e-24,"25","AAEL003794"
"AAEL0103953",5.53184143634864e-28,1.06473151581529,0.761,0.189,6.5911890714094e-24,"25","AAEL010395"
"AAEL0197942",4.58145561954536e-27,1.06301290550353,0.717,0.178,5.45880437068829e-23,"25","AAEL019794"
"AAEL0195087",7.66484018196174e-26,1.0447185629517,0.913,0.349,9.13265707680742e-22,"25","AAEL019508"
"AAEL0017346",3.32870463956492e-23,1.0431087204117,0.891,0.374,3.9661515780416e-19,"25","AAEL001734"
"AAEL0122485",9.64602657120645e-66,1.55887067725984,0.833,0.096,1.14932406595925e-61,"26","AAEL012248"
"AAEL0072052",1.3276656721133e-60,1.16217180270791,0.571,0.044,1.581913648323e-56,"26","AAEL007205"
"AAEL0061144",2.33504620024587e-47,1.74104072944071,1,0.239,2.78220754759295e-43,"26","AAEL006114"
"AAEL0253802",4.72564636242804e-45,1.35343337476418,0.762,0.112,5.63060764083301e-41,"26","AAEL025380"
"AAEL0137764",8.9830933358126e-42,1.83902340685944,1,0.306,1.07033557096207e-37,"26","AAEL013776"
"AAEL0097454",3.92118183122036e-38,1.62336541965795,1,0.328,4.67208815189905e-34,"26","AAEL009745"
"AAEL0265605",4.07474229637334e-31,1.39767326795851,0.976,0.386,4.85505544612883e-27,"26","AAEL026560"
"AAEL0239853",2.36594835134236e-30,1.22067963626951,1,0.58,2.81902746062443e-26,"26","AAEL023985"
