"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dh44-R21",9.16428547802935e-135,1.89123652172303,0.46,0.045,1.14883482752576e-130,"48","Dh44-R2"
"CG34136",1.0747688884624e-134,1.4201714017845,0.32,0.022,1.34733027857647e-130,"48","CG34136"
"ClC-a1",2.69519506806409e-134,1.21968890604952,0.32,0.021,3.37869653732514e-130,"48","ClC-a"
"Sod33",6.73106321900416e-134,3.002653974863,0.807,0.15,8.43806085134361e-130,"48","Sod3"
"Obp44a3",8.46935974524339e-134,4.61078244237114,0.927,0.224,1.06171893766371e-129,"48","Obp44a"
"Elal1",1.7898606396439e-133,1.46611275986702,0.307,0.02,2.24376929785759e-129,"48","Elal"
"CG141412",1.37093620622796e-132,2.11053956459956,0.78,0.125,1.71860562812738e-128,"48","CG14141"
"CG57932",1.03925043002356e-130,1.70483832319374,0.487,0.05,1.30280433907753e-126,"48","CG5793"
"kibra2",1.18084222667869e-129,1.63122933592096,0.413,0.037,1.4803038153644e-125,"48","kibra"
"Hydr11",2.61714703021305e-129,2.04126671764927,0.573,0.073,3.28085551707507e-125,"48","Hydr1"
"gb",3.20597125727299e-127,1.54912798968579,0.42,0.039,4.01900556811741e-123,"48","gb"
"Invadolysin2",1.27205283680269e-126,3.32835176592615,0.793,0.163,1.59464543621586e-122,"48","Invadolysin"
"CG9331",2.96979189249408e-126,1.32507214832399,0.293,0.019,3.72293111643057e-122,"48","CG9331"
"Lapsyn",2.48124135697915e-125,1.09098582925249,0.26,0.015,3.11048416510906e-121,"48","Lapsyn"
"nrv23",3.06190063722842e-125,3.21042676007964,0.987,0.305,3.83839863882954e-121,"48","nrv2"
"CG48292",2.01704488006788e-124,1.88709187920663,0.593,0.076,2.52856746165309e-120,"48","CG4829"
"CG15523",2.24554813946395e-124,2.10798954288164,0.933,0.219,2.81501914763201e-120,"48","CG1552"
"CG83122",3.47038996524419e-124,1.68483357313172,0.34,0.026,4.35048086043011e-120,"48","CG8312"
"DNaseII1",1.33753935999776e-123,2.01748833747152,0.407,0.037,1.6767393416932e-119,"48","DNaseII"
"Hexo24",1.05548336632067e-121,1.85948423900992,0.507,0.058,1.3231539480196e-117,"48","Hexo2"
"ImpL2",3.62399553969688e-119,1.98663482960046,0.293,0.02,4.54304080856401e-115,"48","ImpL2"
"CG83692",6.51121696550747e-119,4.3000224433236,0.993,0.372,8.16246158796017e-115,"48","CG8369"
"CG129262",8.72007630944039e-119,1.52022799946767,0.447,0.045,1.09314876615145e-114,"48","CG12926"
"Irk23",5.01978682516144e-117,2.35869318491576,0.647,0.1,6.29280476402238e-113,"48","Irk2"
"GstD93",1.2364361843722e-116,1.88827715786572,0.527,0.064,1.54999640072899e-112,"48","GstD9"
"Tis111",1.27069717219838e-116,1.02214319291239,0.293,0.02,1.5929459750679e-112,"48","Tis11"
"mfas3",3.77282380725491e-116,1.68930392661473,0.54,0.066,4.72961192477475e-112,"48","mfas"
"CG14681",2.12153863146943e-115,1.96003707172392,0.287,0.02,2.65956082841008e-111,"48","CG1468"
"GstE14",5.7874098123802e-115,1.73601859840951,0.493,0.056,7.25509694079981e-111,"48","GstE1"
"D2hgdh",2.25121437041673e-113,1.25660390590541,0.3,0.022,2.82212233475442e-109,"48","D2hgdh"
"CG31682",2.85020817014237e-111,1.98965866930098,0.393,0.039,3.57302096209047e-107,"48","CG3168"
"Proc-R1",5.27556498108585e-111,1.04601239024552,0.253,0.016,6.61344826028922e-107,"48","Proc-R"
"Akap2001",2.01960034798081e-110,2.46740112649648,0.74,0.155,2.53177099622874e-106,"48","Akap200"
"CG2493",8.39960771145151e-110,1.1904985637976,0.287,0.021,1.05297482270756e-105,"48","CG2493"
"shg",1.97925738088621e-109,1.33290015442128,0.293,0.022,2.48119705267895e-105,"48","shg"
"bru22",2.56969194120748e-109,1.28950202439656,0.273,0.019,3.2213658174977e-105,"48","bru2"
"glob110",9.09753603175391e-107,2.03598294845335,0.727,0.145,1.14046711694067e-102,"48","glob1"
"spri2",1.72157982987718e-106,2.4519658236462,0.52,0.072,2.15817247473403e-102,"48","spri"
"betaTub97EF2",2.31131587965877e-105,1.28422361593521,0.313,0.026,2.89746558674023e-101,"48","betaTub97EF"
"Npc2b2",1.7544652868421e-102,1.50976820400107,0.367,0.036,2.19939768358526e-98,"48","Npc2b"
"CG150983",3.03838278684369e-102,2.55612277778868,0.84,0.22,3.80891666158726e-98,"48","CG15098"
"scramb11",8.91770614243552e-101,2.67499185833158,0.773,0.195,1.11792364201572e-96,"48","scramb1"
"CG131243",3.89905030723811e-100,1.55922849738044,0.44,0.052,4.8878494651537e-96,"48","CG13124"
"aay3",1.93871717362763e-99,1.88407196575547,0.527,0.075,2.4303758488596e-95,"48","aay"
"CG28524",1.03430885669516e-98,3.80204725401464,0.993,0.652,1.29660958275306e-94,"48","CG2852"
"Inx23",1.81969686524858e-98,1.42717311215318,0.54,0.075,2.28117199027562e-94,"48","Inx2"
"axo1",3.47147763918017e-98,1.37074968299548,0.387,0.04,4.35184436847626e-94,"48","axo"
"mgl5",1.94955536431324e-96,2.89199499724752,0.793,0.215,2.44396260470308e-92,"48","mgl"
"bdl3",7.57947816431153e-96,1.51519519443151,0.567,0.085,9.50163382678093e-92,"48","bdl"
"SLC22A1",4.48503657674898e-95,1.28310314442339,0.293,0.025,5.62244185261252e-91,"48","SLC22A"
"CG57584",1.94735007404774e-94,2.92453967788963,0.9,0.33,2.44119805282624e-90,"48","CG5758"
"Sirup3",9.88447023897634e-93,2.57890518811593,0.893,0.295,1.23911718915807e-88,"48","Sirup"
"GstE123",2.35474814804963e-92,1.74547748757194,0.62,0.107,2.95191227839502e-88,"48","GstE12"
"CG95071",1.29401001246735e-90,2.21812633464685,0.467,0.064,1.62217095162908e-86,"48","CG9507"
"Galphai2",4.28547031960158e-89,1.22555045086895,0.367,0.04,5.37226559265254e-85,"48","Galphai"
"fog2",1.60128343730947e-86,1.11574197538223,0.3,0.028,2.00736891701115e-82,"48","fog"
"Ssk1",1.60292064509009e-84,1.83282456869106,0.34,0.038,2.00942132068493e-80,"48","Ssk"
"CG78342",6.95712207664369e-84,1.49314929727456,0.473,0.072,8.72144823528053e-80,"48","CG7834"
"whd1",8.5550568151856e-84,1.09953583488965,0.28,0.025,1.07246192235167e-79,"48","whd"
"Hnf42",1.2315604015619e-83,1.04063582105947,0.293,0.028,1.543884119398e-79,"48","Hnf4"
"CG426133",3.20819678370622e-82,2.64346942187761,0.98,0.614,4.02179548805412e-78,"48","CG42613"
"CG149452",1.06097015304589e-78,1.84528893809136,0.427,0.06,1.33003218385833e-74,"48","CG14945"
"CG178963",1.29823693328907e-77,1.85461355872902,0.567,0.11,1.62746981957118e-73,"48","CG17896"
